DATE,DEXUSEU
28/09/2015,1.1236
29/09/2015,1.1246
30/09/2015,1.1162
1/10/2015,1.12
2/10/2015,1.1276
5/10/2015,1.12
6/10/2015,1.1266
7/10/2015,1.1249
8/10/2015,1.1282
9/10/2015,1.1363
12/10/2015,1.1363
13/10/2015,1.1382
14/10/2015,1.1437
15/10/2015,1.1418
16/10/2015,1.136
19/10/2015,1.132
20/10/2015,1.1359
21/10/2015,1.1345
22/10/2015,1.114
23/10/2015,1.1016
26/10/2015,1.1051
27/10/2015,1.1052
28/10/2015,1.1066
29/10/2015,1.0963
30/10/2015,1.1042
2/11/2015,1.1026
3/11/2015,1.0946
4/11/2015,1.0861
5/11/2015,1.0869
6/11/2015,1.0746
9/11/2015,1.0767
10/11/2015,1.0686
11/11/2015,1.0686
12/11/2015,1.0768
13/11/2015,1.0722
16/11/2015,1.0708
17/11/2015,1.0634
18/11/2015,1.0638
19/11/2015,1.0746
20/11/2015,1.066
23/11/2015,1.0602
24/11/2015,1.0652
25/11/2015,1.0616
26/11/2015,1.0616
27/11/2015,1.0596
30/11/2015,1.0562
1/12/2015,1.062
2/12/2015,1.0573
3/12/2015,1.0902
4/12/2015,1.0884
7/12/2015,1.084
8/12/2015,1.0876
9/12/2015,1.0984
10/12/2015,1.0948
11/12/2015,1.1002
14/12/2015,1.1025
15/12/2015,1.0911
16/12/2015,1.0937
17/12/2015,1.0804
18/12/2015,1.0847
21/12/2015,1.092
22/12/2015,1.0978
23/12/2015,1.0875
24/12/2015,1.0955
25/12/2015,1.0955
28/12/2015,1.0983
29/12/2015,1.0916
30/12/2015,1.0912
31/12/2015,1.0859
